,time,L0,B0,A
0,0.0,0.0,0.0,1000.0
1,2.002002002002002,34.47069378164322,0.0,965.5293062183565
2,4.004004004004004,48.012568838795275,0.0,951.9874311612044
3,6.0060060060060065,57.84564132230774,0.0,942.1543586776919
4,8.008008008008009,65.772811730064,0.0,934.2271882699356
5,10.01001001001001,72.49058745293965,0.0,927.50941254706
6,12.012012012012013,78.35513921183298,0.0,921.6448607881666
7,14.014014014014016,83.57742562249643,0.0,916.4225743775033
8,16.016016016016017,88.2944962191384,0.0,911.7055037808612
9,18.01801801801802,92.60127255455926,0.0,907.3987274454404
10,20.02002002002002,96.56667023599171,0.0,903.4333297640079
11,22.022022022022025,100.24257119739565,0.0,899.757428802604
12,24.024024024024026,103.66917256975488,0.0,896.3308274302449
13,26.026026026026027,106.8783547847604,0.0,893.1216452152394
14,28.028028028028032,109.89589857067743,0.0,890.1041014293222
15,30.030030030030034,112.74299590735205,0.0,887.2570040926475
16,32.032032032032035,115.43731242179052,0.0,884.5626875782091
17,34.034034034034036,117.99375279900929,0.0,882.0062472009903
18,36.03603603603604,120.42502691239082,0.0,879.5749730876088
19,38.03803803803804,122.74207431544278,0.0,877.2579256845568
20,40.04004004004004,124.95438894514456,0.0,875.045611054855
21,42.04204204204205,127.07027164592066,0.0,872.929728354079
22,44.04404404404405,129.09702793774196,0.0,870.9029720622576
23,46.04604604604605,131.0411267921043,0.0,868.9588732078953
24,48.04804804804805,132.9083276854859,0.0,867.0916723145137
25,50.050050050050054,134.7037840340505,0.0,865.2962159659492
26,52.052052052052055,136.43212812501312,0.0,863.5678718749865
27,54.054054054054056,138.09754135935773,0.0,861.9024586406418
28,56.056056056056065,139.70381284659317,0.0,860.2961871534063
29,58.058058058058066,141.25438879790892,0.0,858.7456112020906
30,60.06006006006007,142.75241305461066,0.0,857.2475869453888
31,62.06206206206207,144.20076389703448,0.0,855.7992361029651
32,64.06406406406407,145.60208334693843,0.0,854.3979166530611
33,66.06606606606607,146.95880314208392,0.0,853.0411968579157
34,68.06806806806807,148.2731674720668,0.0,851.7268325279327
35,70.07007007007007,149.5472522061374,0.0,850.4527477938622
36,72.07207207207207,150.7829817849608,0.0,849.2170182150387
37,74.07407407407408,151.9821441510684,0.0,848.0178558489312
38,76.07607607607608,153.14640375024538,0.0,846.8535962497541
39,78.07807807807808,154.27731309092468,0.0,845.7226869090748
40,80.08008008008008,155.37632239778148,0.0,844.623677602218
41,82.0820820820821,156.44478910143397,0.0,843.5552108985654
