0.0000000000 10.0000000000 0.0000000000 1.0000000000
0.0113140000 9.9886923959 0.0113076041 1.0000000000
0.0678820000 9.9323478806 0.0676521194 1.0000000000
0.3507200000 9.6553589782 0.3446410218 1.0000000000
1.1172000000 8.9429462698 1.0570537302 1.0000000000
2.2573000000 7.9793351684 2.0206648316 1.0000000000
3.7244000000 6.8905099609 3.1094900391 1.0000000000
5.5003000000 5.7693250723 4.2306749277 1.0000000000
7.5849000000 4.6837313610 5.3162686390 1.0000000000
9.9923000000 3.6816281601 6.3183718399 1.0000000000
12.4870000000 2.8687749153 7.1312250847 1.0000000000
14.9880000000 2.2339807164 7.7660192836 1.0000000000
17.4900000000 1.7394779814 8.2605220186 1.0000000000
19.9910000000 1.3545713343 8.6454286657 1.0000000000
22.4930000000 1.0547302654 8.9452697346 1.0000000000
24.9940000000 0.8213426245 9.1786573755 1.0000000000
27.4960000000 0.6395343606 9.3604656394 1.0000000000
29.9970000000 0.4980200582 9.5019799418 1.0000000000
32.4990000000 0.3877808513 9.6122191487 1.0000000000
35.0000000000 0.3019738344 9.6980261656 1.0000000000
37.5010000000 0.2351539440 9.7648460560 1.0000000000
40.0030000000 0.1831014534 9.8168985466 1.0000000000
42.5040000000 0.1425852972 9.8574147028 1.0000000000
45.0060000000 0.1110233376 9.8889766624 1.0000000000
47.5070000000 0.0864564173 9.9135435827 1.0000000000
50.0000000000 0.0673794766 9.9326205234 1.0000000000
